"","Olig","astrocytes","eNeuron","endo_mural","iNeuron","microglia"
"0",0.01117375,0.2869527,0.009604726,0.65268,0.008621986,0.030966854
"1",0.093563,0.27243596,0.0205904,0.35354942,0.13920018,0.12066106
"2",0.0872948,0.41052496,0.02733799,0.25222766,0.070909046,0.15170547
"3",0.07805632,0.34067208,0.04322574,0.1703405,0.15689242,0.21081296
"4",0.0905923,0.13099341,0.19164093,0.3170948,0.088382855,0.18129574
"5",0.09428773,0.21242963,0.117311284,0.29076502,0.12395458,0.16125171
"6",0.12416026,0.16483493,0.14974584,0.27872434,0.11638794,0.16614671
"7",0.09985084,0.16996077,0.18632868,0.23998089,0.14543879,0.15844001
"8",0.09237604,0.16306439,0.19674587,0.24508335,0.11611947,0.1866109
"9",0.101973504,0.15129884,0.18890235,0.27849564,0.1075094,0.17182028
"10",0.10251027,0.15715241,0.20978627,0.2614772,0.10272796,0.16634586
"11",0.098066874,0.15988682,0.21700232,0.25937423,0.103927225,0.16174255
"12",0.10446936,0.16098161,0.21001032,0.2742498,0.08609689,0.164192
"13",0.094992734,0.15163597,0.2132595,0.26563933,0.10522427,0.16924828
"14",0.09744175,0.15189034,0.2001759,0.25370458,0.114755325,0.18203205
"15",0.09683117,0.13439263,0.27450073,0.24083485,0.09700825,0.15643245
"16",0.09898031,0.20148149,0.18386559,0.24784665,0.10398064,0.16384533
"17",0.090368174,0.16318889,0.20212403,0.26612133,0.10448483,0.17371273
"18",0.10229326,0.13650641,0.241667,0.27046728,0.103810355,0.1452557
"19",0.042911876,0.11894783,0.28759667,0.35864154,0.06949375,0.12240832
"20",0.10136904,0.11270486,0.21905345,0.2970128,0.11012231,0.1597376
"21",0.09346133,0.15261158,0.24081978,0.26392063,0.09352954,0.15565708
"22",0.07983598,0.1586086,0.2684468,0.24269372,0.08783917,0.16257569
"23",0.07876162,0.26297265,0.25566164,0.1923866,0.088230945,0.12198649
"24",0.07943464,0.18295653,0.21871369,0.23911014,0.107038535,0.17274648
"25",0.097437516,0.1699184,0.2014689,0.25311783,0.115289524,0.16276784
"26",0.09402515,0.15192564,0.25927648,0.2450328,0.09759758,0.15214236
"27",0.07824568,0.15847191,0.28207672,0.23886345,0.09434333,0.14799887
"28",0.101964064,0.14881565,0.2054254,0.23755538,0.15403758,0.15220197
"29",0.10087448,0.14517991,0.17563687,0.26765326,0.14170723,0.16894822
"30",0.12331708,0.14997229,0.20769714,0.26045054,0.13201392,0.126549
"31",0.095800824,0.16800125,0.26071644,0.17947294,0.18049276,0.115515776
"32",0.10938728,0.1532539,0.22343159,0.25200492,0.12142474,0.14049757
"33",0.10514317,0.16308372,0.21970747,0.23443647,0.1267678,0.15086141
"34",0.09192033,0.20293704,0.22425339,0.21690652,0.12409064,0.13989207
"35",0.07634474,0.14016129,0.29161623,0.1942298,0.1750677,0.12258023
"36",0.09639,0.13961843,0.23608735,0.2860936,0.09982251,0.14198814
"37",0.09205881,0.16577962,0.24825361,0.22763419,0.11642201,0.14985172
"38",0.09236203,0.1759654,0.26973963,0.21522294,0.10932887,0.13738112
"39",0.096506946,0.12319009,0.27714205,0.19142887,0.17273647,0.13899553
"40",0.16578536,0.13996048,0.2200442,0.22584268,0.1035064,0.14486095
"41",0.090053685,0.14354059,0.20355695,0.32479268,0.103440195,0.13461591
"42",0.15544318,0.17682242,0.22786489,0.20829484,0.104532436,0.12704226
"43",0.09443602,0.1770258,0.14617942,0.19808653,0.22935493,0.15491726
"44",0.09258065,0.13868979,0.22441438,0.26031637,0.12663919,0.15735964
"45",0.088167235,0.14053212,0.20236151,0.28555495,0.11988482,0.16349941
"46",0.09666787,0.13727565,0.2568535,0.24150701,0.11014898,0.15754704
"47",0.09439885,0.18481778,0.2619331,0.22683755,0.09916739,0.13284534
"48",0.10956517,0.14658882,0.21344681,0.26100317,0.101797774,0.16759825
"49",0.089190856,0.1542588,0.29772818,0.20201373,0.09745165,0.15935677
"50",0.084096946,0.2386592,0.29092366,0.15207729,0.10742461,0.12681831
"51",0.14741766,0.17294556,0.19646107,0.23022024,0.10877379,0.1441817
"52",0.0993923,0.17844531,0.19086373,0.25785467,0.12498678,0.14845718
"53",0.13990138,0.14865893,0.23992394,0.23486286,0.089621775,0.14703117
"54",0.1026195,0.18477392,0.19241355,0.25537473,0.09995812,0.16486019
"55",0.09893386,0.18021408,0.19142342,0.24742457,0.13424122,0.14776288
"56",0.16793653,0.13590145,0.17432752,0.22521241,0.13255551,0.16406661
"57",0.10203932,0.14836922,0.27790257,0.22686021,0.09672934,0.14809933
"58",0.34291723,0.10543733,0.15067433,0.18386723,0.08685412,0.13024975
"59",0.119402155,0.12822445,0.21163909,0.23711294,0.13244031,0.17118102
"60",0.095076926,0.1987581,0.21832778,0.23805001,0.09703473,0.15275243
"61",0.13085416,0.17321298,0.17522678,0.2618174,0.11365498,0.14523369
"62",0.14575584,0.16213037,0.19235772,0.2394687,0.10676023,0.15352723
"63",0.090001285,0.15050049,0.20036556,0.2920061,0.09628267,0.17084387
"64",0.10263214,0.20969826,0.22864485,0.22154003,0.111252405,0.12623233
"65",0.12787762,0.19625132,0.12231133,0.31059018,0.095043935,0.14792556
"66",0.19853736,0.15631272,0.1489966,0.23447686,0.108628504,0.15304796
"67",0.23091277,0.16465287,0.14113623,0.2126086,0.10361428,0.14707518
"68",0.13640286,0.5425239,0.023612224,0.24044164,0.032991897,0.024027372
"69",0.42216685,0.26755238,0.010037749,0.16668968,0.058750708,0.07480258
"70",0.62200034,0.092946805,0.020847807,0.110600434,0.055591855,0.098012775
