Unnamed: 0,Olig,astrocytes,eNeuron,endo_mural,iNeuron,microglia
0,0.16250725,0.1732944,0.18192528,0.16822083,0.12768766,0.18636459
1,0.16274898,0.1738326,0.17991173,0.16911973,0.1284115,0.18597545
2,0.16267337,0.17421064,0.17992382,0.16891737,0.12834668,0.18592814
3,0.16232744,0.17403077,0.17993143,0.16890389,0.12858404,0.18622237
7,0.16231705,0.17440376,0.17994122,0.16933174,0.12836875,0.18563743
8,0.16231327,0.17396377,0.1804956,0.1691653,0.12822807,0.18583395
9,0.16226925,0.17400184,0.18048106,0.16901214,0.12841712,0.18581858
10,0.16229962,0.17378859,0.18045263,0.16899137,0.12845431,0.18601346
14,0.16213553,0.17423095,0.18044372,0.16917981,0.12841916,0.18559079
15,0.1621951,0.17397816,0.18047833,0.16908486,0.12847663,0.18578687
16,0.16230538,0.17411153,0.18026239,0.16918282,0.12847413,0.18566376
17,0.16229586,0.17382106,0.18027712,0.1689812,0.12857564,0.18604907
21,0.16229081,0.17396352,0.18042602,0.16911519,0.12847301,0.18573144
22,0.16227971,0.17413726,0.18030821,0.16919836,0.12842695,0.1856495
23,0.1622412,0.17399406,0.18035138,0.16913262,0.12848406,0.18579671
24,0.1625625,0.1739155,0.1804595,0.1689873,0.12830319,0.18577199
28,0.16206257,0.17412944,0.18040167,0.16916141,0.12849174,0.18575315
29,0.16232613,0.17408994,0.18030596,0.16918169,0.12842277,0.1856735
30,0.16222727,0.17405924,0.18027054,0.16920361,0.1285027,0.18573661
31,0.16210547,0.17400455,0.18086928,0.16885823,0.12843958,0.1857229
35,0.16221471,0.17425701,0.18013352,0.16920151,0.12851582,0.18567744
36,0.16231158,0.1740937,0.1802582,0.16920622,0.12846318,0.18566708
37,0.16219091,0.17391527,0.18044986,0.16905184,0.12862886,0.18576328
38,0.16230789,0.17408083,0.18017276,0.16914028,0.12842695,0.18587133
42,0.16236775,0.1741028,0.18022177,0.16914663,0.1283648,0.18579625
43,0.16220954,0.1740803,0.18031867,0.16912273,0.12850392,0.18576486
44,0.16224813,0.17416614,0.18022622,0.16914597,0.12855573,0.1856578
45,0.16262913,0.17396623,0.1798513,0.16896276,0.12849419,0.1860964
49,0.16218983,0.17410235,0.18048057,0.16919364,0.12840503,0.1856286
50,0.16221282,0.17412944,0.18042074,0.16913633,0.12845396,0.18564676
51,0.16228202,0.17403667,0.18036081,0.16902217,0.12850827,0.18578999
52,0.16221395,0.17391893,0.18042019,0.16911355,0.12848589,0.18584749
56,0.16226803,0.17392251,0.180409,0.1690536,0.12845546,0.18589136
57,0.16213153,0.17417707,0.18025632,0.1691174,0.1285407,0.18577701
58,0.16225731,0.17407328,0.18037038,0.16905388,0.1284864,0.1857588
59,0.16224721,0.17424329,0.1802632,0.16912217,0.12842701,0.18569712
63,0.1621749,0.17447418,0.18019655,0.1691604,0.1283302,0.1856638
64,0.16224195,0.17402641,0.18032919,0.16908723,0.12847109,0.1858441
65,0.16240148,0.1741167,0.18017611,0.16907893,0.12845331,0.18577342
66,0.16224264,0.1740215,0.18031389,0.16908601,0.1284816,0.18585432
70,0.16231242,0.17401953,0.18030728,0.16910838,0.12842792,0.1858245
71,0.16238312,0.17412528,0.18011488,0.16911545,0.12841381,0.18584737
72,0.16225922,0.17395946,0.18029323,0.16908424,0.12850049,0.18590334
73,0.16231987,0.17405614,0.18026246,0.16909643,0.12840621,0.18585889
77,0.1622863,0.17399333,0.18041137,0.16905189,0.12841278,0.18584429
78,0.16223225,0.17401287,0.18019487,0.16916491,0.12852895,0.18586609
79,0.16230857,0.17406343,0.18030043,0.16915779,0.12847735,0.18569237
80,0.16224325,0.17403334,0.18032421,0.16916591,0.1284544,0.18577892
81,0.16262737,0.17423889,0.17957306,0.16928917,0.12842734,0.18584412
82,0.16244027,0.1742378,0.17945306,0.16912645,0.12828612,0.18645625
83,0.16249545,0.17392999,0.18008903,0.1690149,0.1286422,0.18582845
84,0.16234274,0.17402102,0.1802365,0.16912942,0.12843733,0.18583295
85,0.16219889,0.17402807,0.18044078,0.1691613,0.1284779,0.18569309
86,0.1622521,0.17409202,0.18028374,0.16919212,0.12843691,0.18574308
87,0.16218413,0.17402294,0.18038404,0.16912375,0.12857598,0.18570915
88,0.1621477,0.17410317,0.18021125,0.1691639,0.12851776,0.18585628
89,0.16222133,0.17402408,0.18030386,0.16915019,0.1285008,0.18579972
90,0.16237141,0.17436023,0.17990428,0.16909099,0.12852892,0.1857441
91,0.16274941,0.17392674,0.1800862,0.16903856,0.12847215,0.18572694
92,0.16228893,0.17416209,0.18019754,0.16914845,0.12847725,0.18572581
93,0.1622901,0.17402141,0.1802473,0.16909593,0.12851559,0.1858297
94,0.16230282,0.17415525,0.18030195,0.16911148,0.1284929,0.18563563
95,0.16221213,0.17409755,0.18033233,0.16915034,0.12843178,0.18577585
96,0.16230106,0.17398869,0.18013653,0.16911979,0.12851223,0.18594168
97,0.16230255,0.17411892,0.18028535,0.16909607,0.12843397,0.18576321
101,0.16219851,0.17420278,0.18027459,0.16897868,0.12851673,0.18582872
102,0.16219886,0.17403196,0.18030319,0.16914578,0.12854543,0.18577483
103,0.16231996,0.17398757,0.18020035,0.16910557,0.1285185,0.18586804
104,0.16233648,0.17365833,0.18030454,0.16848163,0.12880869,0.18641035
109,0.16299328,0.17452468,0.1780707,0.16936038,0.12905505,0.18599588
110,0.16284102,0.17392772,0.17988548,0.1676574,0.1295491,0.18613924
