"","astrocytes","endo_mural","eNeuron","iNeuron","microglia","Olig"
"0",0.270119496630274,0.692980942132155,0.0262646851705761,4.58242262061775e-05,0.0105433814923341,4.56703484543549e-05
"1",0.394326829882436,0.278783751786269,0.000393155275552653,0.221254405745354,0.0996144247256228,0.00562743258476499
"2",0.666983963281436,0.149749795265441,0.0290405082452812,0.0176858277959483,0.136351126990995,0.00018877842089866
"3",0.435922623672648,0.0648376751071657,0.0389045362638666,0.252060729754539,0.199721697475784,0.00855273772599658
"7",0.0734448753703987,0.195197268670599,0.50931879453457,0.0620124256150271,0.122790851184929,0.0372357846244763
"8",0.225770624235481,0.171202016968243,0.302899443798415,0.162190713769409,0.117565051235204,0.0203721499932481
"9",0.163352627516933,0.139284033544002,0.379597248049549,0.123337261833167,0.125291182428937,0.0691376466274112
"10",0.14038499395049,0.0851191935087795,0.451274652075204,0.178964088496054,0.111349733213653,0.0329073387558198
"14",0.125244559803329,0.0717315757896866,0.495910402364015,0.130641271930828,0.145010080408908,0.0314621097032338
"15",0.137055579544105,0.115407940932448,0.477510552637859,0.117175703342857,0.12468658323697,0.0281636403057622
"16",0.119962486081417,0.10883803168203,0.527879002416368,0.0689498832870733,0.132176820205907,0.0421937763272051
"17",0.122708935302583,0.135072187568161,0.467865204042629,0.115300405059073,0.119779010194405,0.0392742578331485
"21",0.145194066067751,0.100484239976136,0.519390713673706,0.0667130945746934,0.132980018803219,0.0352378669044947
"22",0.112246192812711,0.0931308024469486,0.586247615697884,0.0735227622873792,0.102845978743735,0.032006648011342
"23",0.115490585888847,0.089275196006787,0.521780224424285,0.115917335848513,0.128174642083608,0.0293620157479603
"24",0.09992540794135,0.0918642528363255,0.640028020605674,0.0366524712464763,0.0877530265487558,0.0437768208214187
"28",0.191302998688825,0.0823153936053117,0.520708858463882,0.0700452156435886,0.113870730130217,0.0217568034681749
"29",0.133393755398025,0.100527402428016,0.554574223825473,0.083349937096792,0.110780109855889,0.0173745713958054
"30",0.0975562925227178,0.119324193373403,0.59130672698542,0.0755930899830852,0.0824737310307137,0.0337459661046602
"31",0.105745993724361,0.245480433739326,0.553495723708611,0.0256753297514593,0.069235960830678,0.000366558245563513
"35",0.076798816403901,0.155853455871957,0.548069254765939,0.106336846122673,0.0811052903035632,0.0318363365319666
"36",0.109281535237051,0.106680321271868,0.633407994677185,0.0403598633796132,0.0827619581913942,0.0275083272428881
"37",0.122271325263831,0.0679790087116926,0.667402378421824,0.045314569883218,0.0934969425788244,0.00353577514061032
"38",0.298291924929218,0.0329130447498039,0.574608134909894,0.0234277090919982,0.0647066626655715,0.00605252365351513
"42",0.175664569437564,0.0592950591555888,0.53676663201562,0.104016388632167,0.112665671000808,0.0115916797582534
"43",0.166158014730409,0.0798910264808738,0.546659580705302,0.0907877604101732,0.0930699789569903,0.0234336387162517
"44",0.140855390866946,0.0988643823400234,0.615239096496288,0.0575219708867506,0.0718141238452594,0.0157050355647327
"45",0.152844192206985,0.136128130519238,0.593771396646472,0.0373413485356844,0.077780922548315,0.00213400954330518
"49",0.118045387025174,0.0546859223133439,0.557859035292063,0.161760073186419,0.0804932894206281,0.0271562927623723
"50",0.11337888995794,0.105375838214141,0.472221706584828,0.165045392378694,0.117476396105805,0.0265017767585916
"51",0.122739369984313,0.129251856103284,0.474816694177608,0.125642013139074,0.0677777694898392,0.0797722971058828
"52",0.141477734615074,0.0368003710860748,0.601849908722706,0.142777080433399,0.0597379625814904,0.0173569425612565
"56",0.139914258639805,0.0997496412449583,0.592148983145301,0.0762536281875564,0.0702134003071066,0.0217200884752732
"57",0.124652030620334,0.0677994993293807,0.617849291754793,0.0737901364854128,0.0846929834265041,0.0312160583835752
"58",0.21255729250083,0.0579332496519258,0.60438518983679,0.057390121989306,0.0644488632694904,0.00328528275165726
"59",0.0977450155421943,0.0441129700086393,0.691221462463396,0.10064128925274,0.0600445633610864,0.00623469937194361
"63",0.0900966981295238,0.10374062532862,0.623090868091888,0.0627833642766676,0.0954633837562404,0.02482506041706
"64",0.128686923568916,0.0635384720431846,0.649497916346946,0.0672914138037687,0.0783475471466655,0.0126377270905195
"65",0.143560261658218,0.0787623594636095,0.661172336050791,0.0376271734262878,0.0703586113991418,0.00851925800195216
"66",0.101899508409575,0.0348252036641995,0.641991013781246,0.13772206865567,0.0682011166601495,0.0153610888291603
"70",0.10022389712388,0.062735766150381,0.56674891094567,0.0457247956302021,0.0852969225321636,0.139269707617704
"71",0.131161224467112,0.186639239251031,0.504702497308155,0.0724814412371995,0.077996252270995,0.0270193454655079
"72",0.168863059876643,0.0661729416500317,0.553249306838143,0.0454496883181039,0.0624225042522301,0.103842499064848
"73",0.133757451850841,0.0637068314964199,0.368769149107248,0.331601708835332,0.0723929521825533,0.0297719065276065
"77",0.0936156399379234,0.095729609185807,0.588508327046357,0.106870372446588,0.0845233446845574,0.0307527066987672
"78",0.0923035605881486,0.141532038734154,0.537182807115516,0.110034579217935,0.101923698892196,0.0170233154520495
"79",0.0708918620691563,0.0818909716337682,0.662763866075551,0.080378842823312,0.0807868879399845,0.0232875694582278
"80",0.158201536256612,0.0627981254700373,0.61856693777459,0.0622357976977475,0.0760388209428797,0.0221587818581343
"81",0.104713507012518,0.135344564305279,0.563689486711835,0.0716609029087769,0.0816586516989297,0.0429328873626615
"82",0.108362672791814,0.0506086482733197,0.667366863274594,0.0760104591121324,0.0732659102573685,0.0243854462907708
"83",0.209826963043208,0.0246396743324064,0.664245294132515,0.000176902527347528,0.0929324347268869,0.00817873123763574
"84",0.141882034862277,0.0512624396536299,0.531367877824471,0.0754421562887994,0.0908716594231448,0.109173831947678
"85",0.15185498076049,0.0992720882684974,0.494842609158481,0.145607458663553,0.0829832291489752,0.0254396340000032
"86",0.0887850270136003,0.0738743210919193,0.59022850053135,0.0643889989654243,0.0899862937614839,0.0927368586362221
"87",0.164300681043172,0.108680821803845,0.534071167690334,0.0521922232443468,0.107311616350544,0.0334434898677583
"88",0.146660218885501,0.0784650862616384,0.506692011419044,0.149551254077515,0.0962168795167592,0.0224145498395426
"89",0.0820307588059236,0.0589276429733614,0.438188725564124,0.160552520089637,0.100627602619664,0.15967274994729
"90",0.103601462176962,0.0487626698518499,0.660233932467564,0.0623834796956533,0.0952049134659916,0.0298135423419787
"91",0.082633697293502,0.0622806157199858,0.419058303214495,0.0262854753099843,0.0650148690557182,0.344727039406315
"92",0.0880117256666174,0.0836304574037169,0.544152276102936,0.127384702650329,0.11134107443333,0.0454797637430698
"93",0.21471449858434,0.0824657837048978,0.557462746284281,0.0359134402135737,0.0856065565574611,0.0238369746554455
"94",0.125571262037391,0.114169798135471,0.527461083940301,0.0653632474355204,0.0955646508573666,0.0718699575939496
"95",0.137311007315495,0.058064543704296,0.523199163830146,0.0670255758346179,0.0886721749099734,0.125727534405472
"96",0.128167114554971,0.140081882127239,0.53447764916844,0.0580490419785354,0.114461558163871,0.0247627540069441
"97",0.206370493296487,0.0377743855533849,0.595877735646714,0.0676644008168425,0.0841979935905968,0.00811499109597546
"101",0.175304506525566,0.201247749511598,0.403445324533629,0.0393311055200518,0.10948858453103,0.071182729378125
"102",0.131921319250498,0.0802037555816567,0.418663958519266,0.0730525486717832,0.0919991122001851,0.204159305776611
"103",0.156019087582237,0.0822631373712512,0.389946500603784,0.0683084013576804,0.0659532789643823,0.237509594120665
"104",0.750802765898687,0.177248108302135,7.18706166057022e-05,0.00445975338933435,0.0352717788486794,0.0321457229445581
"109",0.365150442251554,0.0459094995801172,0.000117844890504671,0.0304781849159381,0.0390087081127127,0.519335320249174
"110",0.146714020949412,0.00966924362785814,0.0637663120698727,0.0375131062751962,0.104168221804865,0.638169095272796
